date,TrafficCount (#) 
2/22/20 10:30,932
2/22/20 11:30,1349
2/22/20 12:30,910
2/22/20 13:30,1084
2/22/20 14:30,1620
2/22/20 15:30,494
2/22/20 16:30,435
2/22/20 17:30,545
2/22/20 18:30,1017
2/22/20 19:30,922
2/22/20 20:30,587
2/22/20 21:30,499
2/22/20 22:30,926
2/22/20 23:30,319
2/23/20 0:30,163
2/23/20 1:30,78
2/23/20 2:30,193
2/23/20 3:30,221
2/23/20 4:30,99
2/23/20 5:30,226
2/23/20 6:30,295
2/23/20 7:30,699
2/23/20 8:30,712
2/23/20 9:30,819
2/23/20 10:30,719
2/23/20 11:30,745
2/23/20 12:30,1392
2/23/20 13:30,1136
2/23/20 14:30,761
2/23/20 15:30,700
2/23/20 16:30,1331
2/23/20 17:30,922
2/23/20 18:30,1266
2/23/20 19:30,910
2/23/20 20:30,660
2/23/20 21:30,932
2/23/20 22:30,1184
2/23/20 23:30,642
2/24/20 0:00,642
2/24/20 0:30,325
2/24/20 1:30,263
2/24/20 2:30,311
2/24/20 3:30,46
2/24/20 4:30,218
2/24/20 5:30,272
2/24/20 6:30,810
2/24/20 7:30,3635
2/24/20 8:30,12011
2/24/20 9:30,22820
2/24/20 10:30,57992
2/24/20 11:30,67896
2/24/20 12:30,50516
2/24/20 13:30,70855
2/24/20 14:30,32219
2/24/20 15:30,28958
2/24/20 16:30,22753
2/24/20 17:30,21861
2/24/20 18:30,15405
2/24/20 19:30,8610
2/24/20 20:30,4654
2/24/20 21:30,2965
2/24/20 22:30,2500
2/24/20 23:30,1429
2/25/20 0:30,827
2/25/20 1:30,769
2/25/20 2:30,449
2/25/20 3:30,518
2/25/20 4:30,527
2/25/20 5:30,579
2/25/20 6:30,1383
2/25/20 7:30,3374
2/25/20 8:30,8042
2/25/20 9:30,16211
2/25/20 10:30,37402
2/25/20 11:30,38482
2/25/20 12:30,27775
2/25/20 13:30,30354
2/25/20 14:30,33301
2/25/20 15:30,29821
2/25/20 16:30,21450
2/25/20 17:30,18107
2/25/20 18:30,14117
2/25/20 19:30,7047
2/25/20 20:30,4697
2/25/20 21:30,4657
2/25/20 22:30,2346
2/25/20 23:30,1918
2/26/20 0:30,1420
2/26/20 1:30,1072
2/26/20 2:30,447
2/26/20 3:30,299
2/26/20 4:30,275
2/26/20 5:30,843
2/26/20 6:30,1320
2/26/20 7:30,2677
2/26/20 8:30,8602
2/26/20 9:30,19828
2/26/20 10:30,29828
2/26/20 11:30,32634
2/26/20 12:30,21054
2/26/20 13:30,21289
2/26/20 14:30,27067
2/26/20 15:30,22118
2/26/20 16:30,17929
2/26/20 17:30,14372
2/26/20 18:30,12809
2/26/20 19:30,6597
2/26/20 20:30,3383
